Common_name,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO
Light-bellied brent goose,0,0,0,0,0,0,0,0,0,100
Stock dove,20,0,0,0,0,0,0,0,40,40
Woodpigeon,0,0,0,0,0,0,30,0,30,40
Turtle dove,10,0,0,0,0,0,40,0,50,0
Collared dove,10,0,0,0,0,0,30,0,40,20
Carrion crow,30,20,20,0,0,20,0,0,10,0
Song thrush,40,0,0,0,0,0,30,0,30,0
Robin,40,0,10,10,0,10,20,0,10,0
Great tit,40,0,0,0,0,10,20,10,20,0
Blue tit,50,0,0,0,0,0,20,10,20,0
Reed warbler,70,0,0,0,0,0,10,0,10,10
Chiffchaff,80,0,0,0,0,0,10,0,10,0
Blackcap,50,0,0,0,0,0,30,10,10,0
Goldfinch,10,0,0,0,0,0,20,0,40,30
Yellowhammer,30,0,0,0,0,0,0,0,60,10
Reed bunting,30,0,0,0,0,0,0,0,50,20