Sample2,Species,Common_name,Taxa,Sex,Situ,Location,Country,CollectionYear,TissueStorage,SampleType,ExtractionKit,Environment,Class,Order,Rough_Class,Diet
Alytes-1,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Alytes-13,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Alytes-14,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Alytes-15,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Alytes-16,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Alytes-2,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Alytes-3,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Alytes-4,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Alytes-5,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Alytes-6,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Alytes-7,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Bufo-A1,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Bufo-A2,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Bufo-M1,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Bufo-S3,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Bufo-S6,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Bufo-T1-1,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Bufo-T1-2,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Bufo-T1-3,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Bufo-T1-4,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater,Amphibia,Anura,Amphibia,Carnivore
Bufo-T3,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater,Amphibia,Anura,Amphibia,Carnivore
GH11,Triturus cristatus,Great-crested newt,Amphibian,Female,Wild,"Lancashire, UK",UK,2015,70% ethanol,Toe clip,Phenol chlorophorm,Freshwater,Amphibia,Urodela,Amphibia,Carnivore
GH12,Triturus cristatus,Great-crested newt,Amphibian,Female,Wild,"Lancashire, UK",UK,2015,70% ethanol,Toe clip,Phenol chlorophorm,Freshwater,Amphibia,Urodela,Amphibia,Carnivore
GH13,Triturus cristatus,Great-crested newt,Amphibian,Male,Wild,"Lancashire, UK",UK,2015,70% ethanol,Toe clip,Phenol chlorophorm,Freshwater,Amphibia,Urodela,Amphibia,Carnivore
GH17,Triturus cristatus,Great-crested newt,Amphibian,Male,Wild,"Lancashire, UK",UK,2015,70% ethanol,Toe clip,Phenol chlorophorm,Freshwater,Amphibia,Urodela,Amphibia,Carnivore
GH19,Triturus cristatus,Great-crested newt,Amphibian,Male,Wild,"Lancashire, UK",UK,2015,70% ethanol,Toe clip,Phenol chlorophorm,Freshwater,Amphibia,Urodela,Amphibia,Carnivore
GH21,Triturus cristatus,Great-crested newt,Amphibian,Male,Wild,"Lancashire, UK",UK,2015,70% ethanol,Toe clip,Phenol chlorophorm,Freshwater,Amphibia,Urodela,Amphibia,Carnivore
GH23,Triturus cristatus,Great-crested newt,Amphibian,Male,Wild,"Lancashire, UK",UK,2015,70% ethanol,Toe clip,Phenol chlorophorm,Freshwater,Amphibia,Urodela,Amphibia,Carnivore
GH4,Triturus cristatus,Great-crested newt,Amphibian,Female,Wild,"Lancashire, UK",UK,2015,70% ethanol,Toe clip,Phenol chlorophorm,Freshwater,Amphibia,Urodela,Amphibia,Carnivore
GH6,Triturus cristatus,Great-crested newt,Amphibian,Female,Wild,"Lancashire, UK",UK,2015,70% ethanol,Toe clip,Phenol chlorophorm,Freshwater,Amphibia,Urodela,Amphibia,Carnivore
GH8,Triturus cristatus,Great-crested newt,Amphibian,Female,Wild,"Lancashire, UK",UK,2015,70% ethanol,Toe clip,Phenol chlorophorm,Freshwater,Amphibia,Urodela,Amphibia,Carnivore
A21,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Amphibia,Anura,Amphibia,Omnivore
A24,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Amphibia,Anura,Amphibia,Omnivore
B17,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Amphibia,Anura,Amphibia,Omnivore
C18,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Amphibia,Anura,Amphibia,Omnivore
C19,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Amphibia,Anura,Amphibia,Omnivore
F23,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Amphibia,Anura,Amphibia,Omnivore
G19,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Amphibia,Anura,Amphibia,Omnivore
G25,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Amphibia,Anura,Amphibia,Omnivore
H15,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Amphibia,Anura,Amphibia,Omnivore
H21,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Amphibia,Anura,Amphibia,Omnivore
Bird25,Sylvia atricapilla,Blackcap,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird26,Sylvia atricapilla,Blackcap,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird27,Sylvia atricapilla,Blackcap,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird28,Sylvia atricapilla,Blackcap,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird29,Sylvia atricapilla,Blackcap,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird30,Sylvia atricapilla,Blackcap,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird31,Sylvia atricapilla,Blackcap,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird32,Sylvia atricapilla,Blackcap,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird33,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird34,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird35,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird36,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird37,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird38,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird39,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird40,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR10,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR13,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR14,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR16,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR17,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR18,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR20,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR26,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR3,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR4,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR7,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR8,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird65,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2019,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Carnivore
Bird66,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Carnivore
Bird67,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Carnivore
Bird68,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Carnivore
Bird69,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Carnivore
Bird70,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Carnivore
Bird71,Phylloscopus collybita,Chiffchaff,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Carnivore
Bird72,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Carnivore
E49,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E51,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E54,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E94,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E95,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E96,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E97,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E98,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2012,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
Bird49,Carduelis carduelis,Goldfinch,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird50,Carduelis carduelis,Goldfinch,Bird,Male,Wild,"Lincolnshire, UK",UK,2019,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird51,Carduelis carduelis,Goldfinch,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird52,Carduelis carduelis,Goldfinch,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird53,Carduelis carduelis,Goldfinch,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird54,Carduelis carduelis,Goldfinch,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird55,Carduelis carduelis,Goldfinch,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird56,Carduelis carduelis,Goldfinch,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird57,Parus major,Great tit,Bird,Female,Wild,"Lincolnshire, UK",UK,2019,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird58,Parus major,Great tit,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird59,Parus major,Great tit,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird60,Parus major,Great tit,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird61,Parus major,Great tit,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird62,Parus major,Great tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird63,Parus major,Great tit,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird64,Parus major,Great tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
LB-BG1,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial,Aves,Anseriformes,Aves,Herbivore
